h3,incidents,avg_on_scene,min_on_scene,max_on_scene,geometry
882830a129fffff,102,11.107843137254902,0.0,35.0,"POLYGON ((-122.6120708724461 38.09255831929992, -122.60759567785698 38.09610253480786, -122.60905488602513 38.10077562725316, -122.61498962625625 38.10190431819912, -122.61946460199539 38.09835998766632, -122.61800505640238 38.093687081222306, -122.6120708724461 38.09255831929992))"
882830a12bfffff,84,11.726190476190476,0.0,34.0,"POLYGON ((-122.61946460199539 38.09835998766632, -122.61498962625625 38.10190431819912, -122.61644918034858 38.10657696141072, -122.62238404757267 38.107705088068876, -122.62685880427567 38.10416064256413, -122.6253989128397 38.09948818538302, -122.61946460199539 38.09835998766632))"
882830a12dfffff,202,11.584158415841584,0.0,50.0,"POLYGON ((-122.60166106481242 38.09497327964704, -122.59718510374407 38.098517187786676, -122.59864397430391 38.10319046614043, -122.60457914358939 38.10431965045603, -122.60905488602513 38.10077562725316, -122.60759567785698 38.09610253480786, -122.60166106481242 38.09497327964704))"
882830a133fffff,10,5.7,2.0,10.0,"POLYGON ((-122.64164862622505 38.11575891115986, -122.63717430815304 38.119303586449675, -122.63863489997362 38.12397488120575, -122.64457014701479 38.12510131456406, -122.64904424549194 38.12155652446118, -122.64758331657181 38.116885415822914, -122.64164862622505 38.11575891115986))"
882830a137fffff,77,10.597402597402597,0.0,49.0,"POLYGON ((-122.63123918752389 38.11817658858541, -122.62676410210348 38.12172095666066, -122.62822435664081 38.12639243744189, -122.63416003393087 38.12751936413259, -122.63863489997362 38.12397488120575, -122.63717430815304 38.119303586449675, -122.63123918752389 38.11817658858541))"
882830a139fffff,5,32.4,9.0,84.0,"POLYGON ((-122.63726723145489 38.10174352343926, -122.63279324181443 38.10528827600232, -122.63425347908588 38.10996028379477, -122.6401880431255 38.11108735288172, -122.64466181332644 38.10754248543814, -122.64320123897626 38.10287066379801, -122.63726723145489 38.10174352343926))"
882830a13dfffff,60,12.316666666666666,0.0,82.0,"POLYGON ((-122.62685880427567 38.10416064256413, -122.62238404757267 38.107705088068876, -122.62384394758183 38.11237728192096, -122.6297789416053 38.113504844218525, -122.63425347908588 38.10996028379477, -122.63279324181443 38.10528827600232, -122.62685880427567 38.10416064256413))"
882830a15bfffff,1,15.0,15.0,15.0,"POLYGON ((-122.66711189329742 38.07225315513012, -122.66264108073675 38.075799095103676, -122.66410196525757 38.0804715194329, -122.67003399879316 38.081597817270044, -122.67450459138827 38.07805176244941, -122.67304337046235 38.07337952464852, -122.66711189329742 38.07225315513012))"
882830a163fffff,2,13.5,13.0,14.0,"POLYGON ((-122.61508631954538 38.084340556115194, -122.61061167270336 38.087884963718864, -122.6120708724461 38.09255831929992, -122.61800505640238 38.093687081222306, -122.62247948436338 38.09014255857921, -122.62101994729808 38.08546938906305, -122.61508631954538 38.084340556115194))"
882830a165fffff,5,14.4,0.0,37.0,"POLYGON ((-122.59728483234382 38.080951942956844, -122.59280920061336 38.08449592825631, -122.59426771691126 38.089169918791306, -122.60020220257576 38.09029973809392, -122.60467761582862 38.086755637663764, -122.60321876194354 38.082081833071584, -122.59728483234382 38.080951942956844))"
882830a167fffff,21,12.761904761904763,5.0,36.0,"POLYGON ((-122.60467761582862 38.086755637663764, -122.60020220257576 38.09029973809392, -122.60166106481242 38.09497327964704, -122.60759567785698 38.09610253480786, -122.6120708724461 38.09255831929992, -122.61061167270336 38.087884963718864, -122.60467761582862 38.086755637663764))"
882830a181fffff,4,14.5,6.0,24.0,"POLYGON ((-122.68465161717134 38.12830687745964, -122.68017949488625 38.13185251052708, -122.681641797894 38.136522083195985, -122.68757655972331 38.13764583641764, -122.692048461421 38.134100088773614, -122.6905858219259 38.12943070249433, -122.68465161717134 38.12830687745964))"
882830a18dfffff,2,8.5,3.0,14.0,"POLYGON ((-122.67725524368524 38.12251265145032, -122.67278290099888 38.126058169888054, -122.67424485829038 38.13072819260191, -122.68017949488625 38.13185251052708, -122.68465161717134 38.12830687745964, -122.68318932331088 38.12363704110658, -122.67725524368524 38.12251265145032))"
882830a191fffff,3,16.333333333333332,15.0,18.0,"POLYGON ((-122.70985114271052 38.13746881228221, -122.7053802306631 38.141014980770656, -122.70684356140427 38.14568346652704, -122.71277814038187 38.146805597265285, -122.71724883125279 38.14325931434537, -122.7157851643717 38.13859101512848, -122.70985114271052 38.13746881228221))"
882830a195fffff,12,24.0,0.0,114.0,"POLYGON ((-122.69944577623254 38.13989228519508, -122.69497409530848 38.14343814736259, -122.69643708972579 38.14810681956617, -122.70237210144006 38.14922944316488, -122.70684356140427 38.14568346652704, -122.7053802306631 38.141014980770656, -122.69944577623254 38.13989228519508))"
882830a19dfffff,18,14.833333333333334,0.0,76.0,"POLYGON ((-122.70245392414823 38.13167729511091, -122.69798279111052 38.13522334911472, -122.69944577623254 38.13989228519508, -122.7053802306631 38.141014980770656, -122.70985114271052 38.13746881228221, -122.70838782136678 38.132800062712626, -122.70245392414823 38.13167729511091))"
882830a1b3fffff,12,22.416666666666668,10.0,45.0,"POLYGON ((-122.69342786449992 38.15632089785547, -122.68895508750362 38.15986637572337, -122.69041810042683 38.16453451969427, -122.69635422692373 38.16565699948697, -122.70082678302114 38.162111407177285, -122.69936343356966 38.15744344952653, -122.69342786449992 38.15632089785547))"
882830a1bbfffff,6,13.166666666666666,7.0,28.0,"POLYGON ((-122.69643708972579 38.14810681956617, -122.69196486081556 38.151652489688374, -122.69342786449992 38.15632089785547, -122.69936343356966 38.15744344952653, -122.70383544155048 38.15389766494831, -122.70237210144006 38.14922944316488, -122.69643708972579 38.14810681956617))"
882830a1d3fffff,25,19.16,0.0,66.0,"POLYGON ((-122.71586469019269 38.12103813779702, -122.71139487367913 38.12458468935962, -122.71285818559733 38.12925370258257, -122.71879165001388 38.1303759775861, -122.72326124529022 38.12682931156334, -122.72179759743631 38.12216048500701, -122.71586469019269 38.12103813779702))"
882830a1e1fffff,3,5.0,2.0,8.0,"POLYGON ((-122.65945239271542 38.11913736758224, -122.65497906195213 38.12268246462782, -122.65644033668532 38.127353123500725, -122.66237527906519 38.128478499098534, -122.66684838983034 38.124933287331494, -122.6653867782628 38.120262814697966, -122.65945239271542 38.11913736758224))"
882830a1e9fffff,6,8.666666666666666,6.0,15.0,"POLYGON ((-122.66246390980973 38.11092115613531, -122.65799112687945 38.11446644515437, -122.65945239271542 38.11913736758224, -122.6653867782628 38.120262814697966, -122.66985934116418 38.116717410943025, -122.6683977385961 38.112046674818096, -122.66246390980973 38.11092115613531))"
882830a1ebfffff,1,11.0,11.0,11.0,"POLYGON ((-122.66985934116418 38.116717410943025, -122.6653867782628 38.120262814697966, -122.66684838983034 38.124933287331494, -122.67278290099888 38.126058169888054, -122.67725524368524 38.12251265145032, -122.67579329546713 38.11784236514867, -122.66985934116418 38.116717410943025))"
882830a1edfffff,9,9.222222222222221,0.0,23.0,"POLYGON ((-122.65205686714701 38.113340433551826, -122.64758331657181 38.116885415822914, -122.64904424549194 38.12155652446118, -122.65497906195213 38.12268246462782, -122.65945239271542 38.11913736758224, -122.65799112687945 38.11446644515437, -122.65205686714701 38.113340433551826))"
882830a201fffff,9,20.22222222222222,9.0,29.0,"POLYGON ((-122.7267325840642 38.01324633857317, -122.72226812225855 38.01679463790344, -122.72373029464225 38.02146788757401, -122.72965726394064 38.02259265064394, -122.73412150473396 38.01904423653265, -122.73265899729014 38.01437117414221, -122.7267325840642 38.01324633857317))"
882830a203fffff,47,22.0,0.0,200.0,"POLYGON ((-122.73412150473396 38.01904423653265, -122.72965726394064 38.02259265064394, -122.73111978099904 38.027265451497854, -122.73704687387821 38.02838965094135, -122.74151089347373 38.024841122102536, -122.74004804143689 38.02016850855748, -122.73412150473396 38.01904423653265))"
882830a207fffff,2,16.5,13.0,20.0,"POLYGON ((-122.72373029464225 38.02146788757401, -122.71926528630719 38.02501599781805, -122.72072746820375 38.029688985888455, -122.72665499364615 38.03081367650811, -122.73111978099904 38.027265451497854, -122.72965726394064 38.02259265064394, -122.72373029464225 38.02146788757401))"
882830a20dfffff,2,27.0,20.0,34.0,"POLYGON ((-122.71934413166565 38.00744742842236, -122.71487944903316 38.01099561291808, -122.7163412767343 38.01566931127943, -122.72226812225855 38.01679463790344, -122.7267325840642 38.01324633857317, -122.72527042122137 38.008572827463205, -122.71934413166565 38.00744742842236))"
882830a215fffff,2,10.0,7.0,13.0,"POLYGON ((-122.74151089347373 38.024841122102536, -122.73704687387821 38.02838965094135, -122.7385097356034 38.033062002852866, -122.74443695186987 38.03418563859768, -122.74890075008214 38.03063699508485, -122.74743755346014 38.02596483051093, -122.74151089347373 38.024841122102536))"
882830a21dfffff,1,14.0,14.0,14.0,"POLYGON ((-122.74451151454235 38.01661979081235, -122.74004804143689 38.02016850855748, -122.74151089347373 38.024841122102536, -122.74743755346014 38.02596483051093, -122.75190080515236 38.02241599807695, -122.75043761832039 38.017743571933146, -122.74451151454235 38.01661979081235))"
882830a221fffff,3,18.0,13.0,21.0,"POLYGON ((-122.70294427551192 38.02631280412268, -122.69847773253261 38.02986030593221, -122.69993924355542 38.034533668158254, -122.705867633135 38.03565934155298, -122.71033395556375 38.032111724900005, -122.7088721090124 38.02743854970554, -122.70294427551192 38.02631280412268))"
882830a229fffff,4,18.25,12.0,28.0,"POLYGON ((-122.70594877010973 38.01809148888399, -122.7014827737984 38.02163918016918, -122.70294427551192 38.02631280412268, -122.7088721090124 38.02743854970554, -122.71333788474287 38.023890743562106, -122.71187604760259 38.019217306703815, -122.70594877010973 38.01809148888399))"
882830a22dfffff,11,12.0,0.0,27.0,"POLYGON ((-122.69555506466673 38.02051287101271, -122.69108830132252 38.024060257925406, -122.69254946742598 38.028734068881626, -122.69847773253261 38.02986030593221, -122.70294427551192 38.02631280412268, -122.7014827737984 38.02163918016918, -122.69555506466673 38.02051287101271))"
882830a239fffff,3,60.666666666666664,15.0,119.0,"POLYGON ((-122.73111978099904 38.027265451497854, -122.72665499364615 38.03081367650811, -122.72811752029115 38.03548621566483, -122.73404516941818 38.03661034257583, -122.7385097356034 38.033062002852866, -122.73704687387821 38.02838965094135, -122.73111978099904 38.027265451497854))"
882830a23bfffff,2,18.0,16.0,20.0,"POLYGON ((-122.7385097356034 38.033062002852866, -122.73404516941818 38.03661034257583, -122.73550804080374 38.041282432693144, -122.74143581342192 38.042405995823295, -122.74590015825389 38.03885754144106, -122.74443695186987 38.03418563859768, -122.7385097356034 38.033062002852866))"
882830a259fffff,7,66.57142857142857,27.0,200.0,"POLYGON ((-122.75351015821322 37.99195309740545, -122.74904832398036 37.995502380612166, -122.75051114678459 38.000175778093414, -122.75643613836083 38.00129970478545, -122.76089775109054 37.99775030684526, -122.75943459379607 37.993077096956235, -122.75351015821322 37.99195309740545))"
882830a261fffff,93,20.43010752688172,0.0,57.0,"POLYGON ((-122.70156464706967 38.00406912237166, -122.69709897690119 38.007616887996406, -122.69856012450543 38.01229122205259, -122.70448727773355 38.01341760336377, -122.7089527274764 38.009869722812475, -122.70749124446566 38.005195575886326, -122.70156464706967 38.00406912237166))"
882830a265fffff,91,18.175824175824175,0.0,76.0,"POLYGON ((-122.69117194813116 38.00648994326654, -122.68670551121481 38.010037404675046, -122.68816632322934 38.01471192576868, -122.69409390779883 38.01583879842613, -122.69856012450543 38.01229122205259, -122.69709897690119 38.007616887996406, -122.69117194813116 38.00648994326654))"
882830a267fffff,111,19.585585585585587,0.0,200.0,"POLYGON ((-122.69856012450543 38.01229122205259, -122.69409390779883 38.01583879842613, -122.69555506466673 38.02051287101271, -122.7014827737984 38.02163918016918, -122.70594877010973 38.01809148888399, -122.70448727773355 38.01341760336377, -122.69856012450543 38.01229122205259))"
882830a26bfffff,5,20.0,8.0,32.0,"POLYGON ((-122.71195614773954 38.001647506278566, -122.70749124446566 38.005195575886326, -122.7089527274764 38.009869722812475, -122.71487944903316 38.01099561291808, -122.71934413166565 38.00744742842236, -122.71788231343167 38.00277346871874, -122.71195614773954 38.001647506278566))"
882830a285fffff,3,33.0,24.0,46.0,"POLYGON ((-122.76807423246714 38.05623807862858, -122.76361055280826 38.05978687666745, -122.76507480307623 38.064457169371586, -122.77100306772327 38.065578476658246, -122.7754665252866 38.06202956417424, -122.77400194034745 38.057359458858464, -122.76807423246714 38.05623807862858))"
882830a291fffff,626,17.990415335463258,0.0,200.0,"POLYGON ((-122.80363891784327 38.062961084899364, -122.7991772212375 38.066510718654605, -122.80064282972904 38.071179736917436, -122.80657046901517 38.072298933805385, -122.81103194272372 38.068749185790246, -122.80956600009242 38.06408035515675, -122.80363891784327 38.062961084899364))"
882830a293fffff,11,35.27272727272727,0.0,200.0,"POLYGON ((-122.81103194272372 38.068749185790246, -122.80657046901517 38.072298933805385, -122.80803642202677 38.076967502094426, -122.81396418285357 38.078086134720316, -122.81842543347932 38.07453627249895, -122.81695914641014 38.06986789186759, -122.81103194272372 38.068749185790246))"
882830a297fffff,43,16.488372093023255,0.0,48.0,"POLYGON ((-122.80064282972904 38.071179736917436, -122.79618058639454 38.07472918164861, -122.79764620516475 38.07939793750336, -122.8035744015599 38.08051706107091, -122.80803642202677 38.076967502094426, -122.80657046901517 38.072298933805385, -122.80064282972904 38.071179736917436))"
882830a299fffff,5,10.4,0.0,27.0,"POLYGON ((-122.80663446963513 38.05474198181868, -122.8021733196582 38.0582918043887, -122.80363891784327 38.062961084899364, -122.80956600009242 38.06408035515675, -122.81402692714254 38.06053041831218, -122.81256099491932 38.05586132549448, -122.80663446963513 38.05474198181868))"
882830a29bfffff,7,25.857142857142858,19.0,47.0,"POLYGON ((-122.81402692714254 38.06053041831218, -122.80956600009242 38.06408035515675, -122.81103194272372 38.068749185790246, -122.81695914641014 38.06986789186759, -122.82141985034797 38.0663178408022, -122.8199535737607 38.061649197889984, -122.81402692714254 38.06053041831218))"
882830a29dfffff,1,0.0,0.0,0.0,"POLYGON ((-122.79624635904015 38.0571719700226, -122.79178443972265 38.06072148946426, -122.79324970368589 38.065390957575886, -122.7991772212375 38.066510718654605, -122.80363891784327 38.062961084899364, -122.8021733196582 38.0582918043887, -122.79624635904015 38.0571719700226))"
882830a2a1fffff,3,76.66666666666667,8.0,200.0,"POLYGON ((-122.75468187794291 38.06688397948319, -122.75021688271563 38.07043228407513, -122.75168080795456 38.075102501669875, -122.75761006342641 38.076224227449835, -122.7620748368036 38.07267580838849, -122.76061057660809 38.06800577802634, -122.75468187794291 38.06688397948319))"
882830a2a5fffff,3,18.333333333333332,15.0,23.0,"POLYGON ((-122.7442877503618 38.06930999413412, -122.7398219865213 38.072857994429704, -122.74128557661993 38.07752839916482, -122.7472152657484 38.078650616473716, -122.75168080795456 38.075102501669875, -122.75021688271563 38.07043228407513, -122.7442877503618 38.06930999413412))"
882830a2abfffff,10,15.5,0.0,35.0,"POLYGON ((-122.76507480307623 38.064457169371586, -122.76061057660809 38.06800577802634, -122.7620748368036 38.07267580838849, -122.76800365828923 38.0737970427809, -122.77246766269175 38.07024831969566, -122.77100306772327 38.065578476658246, -122.76507480307623 38.064457169371586))"
882830a2b1fffff,9,12.444444444444445,0.0,47.0,"POLYGON ((-122.77986098952265 38.076038456087446, -122.77539720737147 38.07958729354964, -122.77686215710753 38.08425642425987, -122.78279122365278 38.085376530135896, -122.78725478336698 38.0818275783503, -122.78578949902194 38.07715863502181, -122.77986098952265 38.076038456087446))"
882830a2bdfffff,2,16.0,11.0,21.0,"POLYGON ((-122.77246766269175 38.07024831969566, -122.76800365828923 38.0737970427809, -122.76946826325913 38.07846662337966, -122.77539720737147 38.07958729354964, -122.77986098952265 38.076038456087446, -122.77839604986183 38.07136906284194, -122.77246766269175 38.07024831969566))"
882830a2c3fffff,103,23.0,0.0,200.0,"POLYGON ((-122.78445989332137 38.037370590282045, -122.77999807567686 38.04092006970632, -122.78146264047376 38.0455906990977, -122.78738935724847 38.04671166146679, -122.79185095252255 38.043162067606936, -122.79038605344138 38.038491625823276, -122.78445989332137 38.037370590282045))"
882830a2c7fffff,37,24.72972972972973,0.0,200.0,"POLYGON ((-122.7740714811144 38.039798543443155, -122.76960889477486 38.043347719622204, -122.77107312510398 38.048018536529185, -122.77700027628943 38.04913998975124, -122.78146264047376 38.0455906990977, -122.77999807567686 38.04092006970632, -122.7740714811144 38.039798543443155))"
882830a2d1fffff,20,23.35,0.0,70.0,"POLYGON ((-122.80223806077647 38.040732642431976, -122.7977772345577 38.044282539264536, -122.79924247802781 38.04895253151807, -122.80516888178431 38.05007243922049, -122.8096294852322 38.046522428044995, -122.80816390774345 38.04185262351968, -122.80223806077647 38.040732642431976))"
882830a2d5fffff,28,21.964285714285715,0.0,200.0,"POLYGON ((-122.79185095252255 38.043162067606936, -122.78738935724847 38.04671166146679, -122.78885426651632 38.05138184135647, -122.79478110530954 38.05250223975985, -122.79924247802781 38.04895253151807, -122.7977772345577 38.044282539264536, -122.79185095252255 38.043162067606936))"
882830a2d7fffff,8,25.0,8.0,40.0,"POLYGON ((-122.79924247802781 38.04895253151807, -122.79478110530954 38.05250223975985, -122.79624635904015 38.0571719700226, -122.8021733196582 38.0582918043887, -122.80663446963513 38.05474198181868, -122.80516888178431 38.05007243922049, -122.79924247802781 38.04895253151807))"
882830a2d9fffff,3,17.333333333333332,14.0,19.0,"POLYGON ((-122.80523310741371 38.032512303134126, -122.80077282759463 38.03606238834813, -122.80223806077647 38.040732642431976, -122.80816390774345 38.04185262351968, -122.81262396476207 38.03830242394802, -122.81115839766316 38.03363235765601, -122.80523310741371 38.032512303134126))"
882830a2ddfffff,29,28.24137931034483,0.0,200.0,"POLYGON ((-122.79484710224567 38.03494184338734, -122.79038605344138 38.038491625823276, -122.79185095252255 38.043162067606936, -122.7977772345577 38.044282539264536, -122.80223806077647 38.040732642431976, -122.80077282759463 38.03606238834813, -122.79484710224567 38.03494184338734))"
882830a2e1fffff,8,13.875,0.0,32.0,"POLYGON ((-122.75329104874908 38.04465206706474, -122.7488269254559 38.04820063605273, -122.75029048629867 38.05287182771437, -122.75621850531854 38.05399426306655, -122.76068240688738 38.050445579526375, -122.75921851120965 38.04577457519595, -122.75329104874908 38.04465206706474))"
882830a2ebfffff,3,25.0,10.0,48.0,"POLYGON ((-122.76368186609882 38.04222570249569, -122.75921851120965 38.04577457519595, -122.76068240688738 38.050445579526375, -122.76660999215464 38.051567523742825, -122.77107312510398 38.048018536529185, -122.76960889477486 38.043347719622204, -122.76368186609882 38.04222570249569))"
882830a2edfffff,3,27.0,19.0,34.0,"POLYGON ((-122.74590015825389 38.03885754144106, -122.74143581342192 38.042405995823295, -122.74289902954006 38.04707763677555, -122.7488269254559 38.04820063605273, -122.75329104874908 38.04465206706474, -122.75182749771419 38.039980613415096, -122.74590015825389 38.03885754144106))"
882830a305fffff,9,16.444444444444443,8.0,25.0,"POLYGON ((-122.64356857187693 38.032607836431445, -122.63909797557574 38.03615369798329, -122.64055746087959 38.040828442563594, -122.64648787906 38.04195713906247, -122.65095825607766 38.03841116242154, -122.64949843424735 38.033736604380664, -122.64356857187693 38.032607836431445))"
882830a307fffff,3,17.666666666666668,17.0,18.0,"POLYGON ((-122.65095825607766 38.03841116242154, -122.64648787906 38.04195713906247, -122.64794770969002 38.04663143505767, -122.65387825383179 38.04775956785324, -122.65834841138016 38.0442134761764, -122.65688824430495 38.03953936674971, -122.65095825607766 38.03841116242154))"
882830a309fffff,2,23.0,13.0,33.0,"POLYGON ((-122.65697773434141 38.02196926003415, -122.65250845124987 38.025515617364405, -122.65396826425221 38.03019043729029, -122.65989769663628 38.031318713199916, -122.66436676019708 38.02777224080414, -122.66290661095348 38.02309760757408, -122.65697773434141 38.02196926003415))"
882830a30bfffff,3,4.666666666666667,0.0,13.0,"POLYGON ((-122.66436676019708 38.02777224080414, -122.65989769663628 38.031318713199916, -122.66135785480976 38.035993084608634, -122.66728741275296 38.037120796906535, -122.67175625659728 38.03357420949848, -122.67029576226385 38.028900024814625, -122.66436676019708 38.02777224080414))"
882830a311fffff,10,18.4,8.0,30.0,"POLYGON ((-122.67914622334115 38.03937516591825, -122.67467759939893 38.04292186828535, -122.676138447892 38.047595342281525, -122.68206825637333 38.04872192713757, -122.68653666022763 38.045175109864694, -122.68507547573742 38.04050182265136, -122.67914622334115 38.03937516591825))"
882830a313fffff,3,16.0,11.0,19.0,"POLYGON ((-122.68653666022763 38.045175109864694, -122.68206825637333 38.04872192713757, -122.68352945001473 38.05339495223852, -122.68945938347503 38.05452097326464, -122.69392756705568 38.05097404113925, -122.69246603749859 38.04630120285006, -122.68653666022763 38.045175109864694))"
882830a317fffff,8,19.375,0.0,38.0,"POLYGON ((-122.676138447892 38.047595342281525, -122.67166927694454 38.0511418543644, -122.67313013448684 38.055815066184586, -122.67906049912463 38.05694157921246, -122.68352945001473 38.05339495223852, -122.68206825637333 38.04872192713757, -122.676138447892 38.047595342281525))"
882830a319fffff,1,16.0,16.0,16.0,"POLYGON ((-122.68215346096196 38.03115453746488, -122.6776853839255 38.034701429906676, -122.67914622334115 38.03937516591825, -122.68507547573742 38.04050182265136, -122.68954333265549 38.03695481528903, -122.68808215734458 38.03228126612392, -122.68215346096196 38.03115453746488))"
882830a31bfffff,2,11.0,4.0,18.0,"POLYGON ((-122.68954333265549 38.03695481528903, -122.68507547573742 38.04050182265136, -122.68653666022763 38.045175109864694, -122.69246603749859 38.04630120285006, -122.69693367411257 38.042754080620476, -122.69547215380858 38.03808098028255, -122.68954333265549 38.03695481528903))"
882830a31dfffff,2,17.5,16.0,19.0,"POLYGON ((-122.67175625659728 38.03357420949848, -122.66728741275296 38.037120796906535, -122.66874791609001 38.041794719672, -122.67467759939893 38.04292186828535, -122.67914622334115 38.03937516591825, -122.6776853839255 38.034701429906676, -122.67175625659728 38.03357420949848))"
882830a325fffff,23,15.304347826086957,0.0,66.0,"POLYGON ((-122.61975228300244 38.04566060834096, -122.61527960733429 38.04920566708256, -122.61673842752903 38.05388052222668, -122.62267026043585 38.05501013234892, -122.6271427172849 38.05146495845632, -122.62568356009513 38.04679028960237, -122.61975228300244 38.04566060834096))"
882830a327fffff,3,13.333333333333334,10.0,18.0,"POLYGON ((-122.6271427172849 38.05146495845632, -122.62267026043585 38.05501013234892, -122.62412942619292 38.059684538869305, -122.63006138576183 38.06081358518759, -122.63453362360582 38.05726829619704, -122.63307412093492 38.05259407599601, -122.6271427172849 38.05146495845632))"
882830a32bfffff,4,23.25,0.0,41.0,"POLYGON ((-122.64055746087959 38.040828442563594, -122.63608631749696 38.04437411347121, -122.6375458114985 38.04904859594217, -122.64347678556007 38.05017722103961, -122.64794770969002 38.04663143505767, -122.64648787906 38.04195713906247, -122.64055746087959 38.040828442563594))"
882830a32dfffff,2,14.0,0.0,28.0,"POLYGON ((-122.62276559975086 38.03744024118485, -122.61829347130123 38.040985490960246, -122.61975228300244 38.04566060834096, -122.62568356009513 38.04679028960237, -122.63015546969469 38.04324492466121, -122.62869632110055 38.03856999363428, -122.62276559975086 38.03744024118485))"
882830a331fffff,2,20.5,18.0,23.0,"POLYGON ((-122.65533842978049 38.052433415137244, -122.65086772508909 38.05597931614038, -122.652327909883 38.06065290112111, -122.65825913588313 38.061780398574584, -122.6627296209501 38.05823438260341, -122.6612690996903 38.05356098415663, -122.65533842978049 38.052433415137244))"
882830a333fffff,2,21.0,15.0,27.0,"POLYGON ((-122.6627296209501 38.05823438260341, -122.65825913588313 38.061780398574584, -122.65971966606195 38.06645353462121, -122.66565101774121 38.06758046814349, -122.67012128299791 38.06403433725741, -122.66866041643455 38.059361387773784, -122.6627296209501 38.05823438260341))"
882830a33bfffff,17,17.294117647058822,8.0,37.0,"POLYGON ((-122.66573903758352 38.05001477749701, -122.6612690996903 38.05356098415663, -122.6627296209501 38.05823438260341, -122.66866041643455 38.059361387773784, -122.67313013448684 38.055815066184586, -122.67166927694454 38.0511418543644, -122.66573903758352 38.05001477749701))"
882830a33dfffff,1,13.0,13.0,13.0,"POLYGON ((-122.64794770969002 38.04663143505767, -122.64347678556007 38.05017722103961, -122.64493662496152 38.054851254828485, -122.65086772508909 38.05597931614038, -122.65533842978049 38.052433415137244, -122.65387825383179 38.04775956785324, -122.64794770969002 38.04663143505767))"
882830a341fffff,31,16.741935483870968,0.0,33.0,"POLYGON ((-122.65259867584327 38.00794330521688, -122.64812972018983 38.011489737443796, -122.64958917923106 38.016165267387684, -122.65551793019522 38.01729417838406, -122.65998666647286 38.01374763102355, -122.65852687121105 38.00907228781005, -122.65259867584327 38.00794330521688))"
882830a343fffff,28,18.214285714285715,0.0,45.0,"POLYGON ((-122.65998666647286 38.01374763102355, -122.65551793019522 38.01729417838406, -122.65697773434141 38.02196926003415, -122.66290661095348 38.02309760757408, -122.66737512766973 38.01955094513322, -122.66591498738423 38.01487605024259, -122.65998666647286 38.01374763102355))"
882830a345fffff,133,16.541353383458645,0.0,156.0,"POLYGON ((-122.64220109506681 38.01036026306405, -122.63773137347087 38.01390639010365, -122.6391904961084 38.01858210668512, -122.64511967679447 38.019711509599205, -122.64958917923106 38.016165267387684, -122.64812972018983 38.011489737443796, -122.64220109506681 38.01036026306405))"
882830a347fffff,32,19.53125,0.0,157.0,"POLYGON ((-122.64958917923106 38.016165267387684, -122.64511967679447 38.019711509599205, -122.64657914461819 38.02438677791602, -122.65250845124987 38.025515617364405, -122.65697773434141 38.02196926003415, -122.65551793019522 38.01729417838406, -122.64958917923106 38.016165267387684))"
882830a34bfffff,37,14.864864864864865,0.0,35.0,"POLYGON ((-122.66299506077428 38.005525550628946, -122.65852687121105 38.00907228781005, -122.65998666647286 38.01374763102355, -122.66591498738423 38.01487605024259, -122.67038295735541 38.01132919796624, -122.66892282605615 38.006654041575885, -122.66299506077428 38.005525550628946))"
882830a34dfffff,74,19.905405405405407,0.0,56.0,"POLYGON ((-122.64521115598157 38.0021379679126, -122.640741981138 38.00568428495272, -122.64220109506681 38.01036026306405, -122.64812972018983 38.011489737443796, -122.65259867584327 38.00794330521688, -122.65113922561268 38.00326751380681, -122.64521115598157 38.0021379679126))"
882830a351fffff,13,19.23076923076923,0.0,40.0,"POLYGON ((-122.67777132412498 38.017131833586824, -122.67330357393146 38.02067880090513, -122.67476405923306 38.02535324734666, -122.68069263065188 38.02648053959852, -122.68516016088215 38.02293345729157, -122.68369933970575 38.01825919773122, -122.67777132412498 38.017131833586824))"
882830a355fffff,8,18.25,10.0,34.0,"POLYGON ((-122.66737512766973 38.01955094513322, -122.66290661095348 38.02309760757408, -122.66436676019708 38.02777224080414, -122.67029576226385 38.028900024814625, -122.67476405923306 38.02535324734666, -122.67330357393146 38.02067880090513, -122.66737512766973 38.01955094513322))"
882830a357fffff,2,18.5,17.0,20.0,"POLYGON ((-122.67476405923306 38.02535324734666, -122.67029576226385 38.028900024814625, -122.67175625659728 38.03357420949848, -122.6776853839255 38.034701429906676, -122.68215346096196 38.03115453746488, -122.68069263065188 38.02648053959852, -122.67476405923306 38.02535324734666))"
882830a359fffff,129,20.162790697674417,0.0,200.0,"POLYGON ((-122.6807780514007 38.008909968589336, -122.67631084788333 38.01245712554837, -122.67777132412498 38.017131833586824, -122.68369933970575 38.01825919773122, -122.68816632322934 38.01471192576868, -122.68670551121481 38.010037404675046, -122.6807780514007 38.008909968589336))"
882830a35bfffff,145,15.710344827586207,0.0,86.0,"POLYGON ((-122.68816632322934 38.01471192576868, -122.68369933970575 38.01825919773122, -122.68516016088215 38.02293345729157, -122.69108830132252 38.024060257925406, -122.69555506466673 38.02051287101271, -122.69409390779883 38.01583879842613, -122.68816632322934 38.01471192576868))"
