h3,incidents,avg_on_scene,min_on_scene,max_on_scene,geometry
882830841dfffff,9,24.22222222222222,7.0,48.0,"POLYGON ((-122.53780199365497 37.85391567810757, -122.53333239622158 37.85746116288716, -122.53478559678251 37.86214629624248, -122.54070873188857 37.863285758245404, -122.5451781130964 37.85974015728398, -122.54372457547237 37.85505521051133, -122.53780199365497 37.85391567810757))"
8828308421fffff,365,11.895890410958904,0.0,47.0,"POLYGON ((-122.49622446465224 37.86353274557382, -122.49175182156696 37.867077010158006, -122.4932036720548 37.8717628889074, -122.49912850346782 37.87290431687461, -122.50360093119468 37.869359935958784, -122.50214874291555 37.864674243417305, -122.49622446465224 37.86353274557382))"
8828308423fffff,628,14.347133757961783,0.0,200.0,"POLYGON ((-122.50360093119468 37.869359935958784, -122.49912850346782 37.87290431687461, -122.50058069907008 37.87758975032735, -122.50650566015905 37.87873061663629, -122.51097787234224 37.87518611944173, -122.5095253390288 37.87050087222687, -122.50360093119468 37.869359935958784))"
8828308427fffff,2,14.0,9.0,19.0,"POLYGON ((-122.4932036720548 37.8717628889074, -122.48873048307277 37.87530696423088, -122.49018234078173 37.87999258382779, -122.49610772541465 37.881133941966965, -122.50058069907008 37.87758975032735, -122.49912850346782 37.87290431687461, -122.4932036720548 37.8717628889074))"
8828308429fffff,229,12.777292576419214,0.0,53.0,"POLYGON ((-122.49924471870132 37.85530215419976, -122.49477262141413 37.858846607834124, -122.49622446465224 37.86353274557382, -122.50214874291555 37.864674243417305, -122.50662062481254 37.86112967343574, -122.50516844388503 37.856443721967786, -122.49924471870132 37.85530215419976))"
882830842bfffff,1016,13.207677165354331,0.0,200.0,"POLYGON ((-122.50662062481254 37.86112967343574, -122.50214874291555 37.864674243417305, -122.50360093119468 37.869359935958784, -122.5095253390288 37.87050087222687, -122.51399700535042 37.86695618595107, -122.51254447946198 37.86227067971127, -122.50662062481254 37.86112967343574))"
882830842dfffff,651,13.119815668202765,0.0,186.0,"POLYGON ((-122.48884847291359 37.85770454849075, -122.48437561465518 37.861248696690346, -122.48582712002187 37.86593502060799, -122.49175182156696 37.867077010158006, -122.49622446465224 37.86353274557382, -122.49477262141413 37.858846607834124, -122.48884847291359 37.85770454849075))"
8828308431fffff,221,13.054298642533936,0.0,158.0,"POLYGON ((-122.52137386011617 37.872781691541945, -122.51690240955514 37.876326494059036, -122.51835528789613 37.881011295818986, -122.52427995429572 37.88215110871023, -122.52875118891093 37.87860619000483, -122.52729797312105 37.873921574606356, -122.52137386011617 37.872781691541945))"
8828308433fffff,305,14.249180327868853,0.0,156.0,"POLYGON ((-122.52875118891093 37.87860619000483, -122.52427995429572 37.88215110871023, -122.5257331776574 37.88683546488705, -122.53165797305162 37.88797471597702, -122.53612899153578 37.884429681136346, -122.53467543080546 37.87974551135083, -122.52875118891093 37.87860619000483))"
8828308435fffff,340,14.102941176470589,0.0,200.0,"POLYGON ((-122.51097787234224 37.87518611944173, -122.50650566015905 37.87873061663629, -122.50795820086898 37.883415604664044, -122.51388329144183 37.88455590923931, -122.51835528789613 37.881011295818986, -122.51690240955514 37.876326494059036, -122.51097787234224 37.87518611944173))"
8828308437fffff,124,14.274193548387096,0.0,36.0,"POLYGON ((-122.51835528789613 37.881011295818986, -122.51388329144183 37.88455590923931, -122.5153361772527 37.88924045171382, -122.52126139711736 37.89038019448017, -122.5257331776574 37.88683546488705, -122.52427995429572 37.88215110871023, -122.51835528789613 37.881011295818986))"
8828308439fffff,49,13.489795918367347,0.0,62.0,"POLYGON ((-122.52439189404018 37.86455163925525, -122.51992098927357 37.86809663065869, -122.52137386011617 37.872781691541945, -122.52729797312105 37.873921574606356, -122.53176866191022 37.870376466999126, -122.53031545372059 37.86569159254114, -122.52439189404018 37.86455163925525))"
882830843bfffff,269,13.446096654275093,0.0,72.0,"POLYGON ((-122.53176866191022 37.870376466999126, -122.52729797312105 37.873921574606356, -122.52875118891093 37.87860619000483, -122.53467543080546 37.87974551135083, -122.53914590343204 37.87620028759283, -122.53769235037537 37.871515858649445, -122.53176866191022 37.870376466999126))"
882830843dfffff,646,12.660990712074303,0.0,200.0,"POLYGON ((-122.51399700535042 37.86695618595107, -122.5095253390288 37.87050087222687, -122.51097787234224 37.87518611944173, -122.51690240955514 37.876326494059036, -122.52137386011617 37.872781691541945, -122.51992098927357 37.86809663065869, -122.51399700535042 37.86695618595107))"
8828308441fffff,16,14.125,5.0,62.0,"POLYGON ((-122.51869401676069 37.82820414925516, -122.51422431719624 37.83174947339431, -122.5156764758978 37.836436200667706, -122.52159867141438 37.837577417254884, -122.5260681552769 37.834031976759015, -122.52461565937335 37.82934543604255, -122.51869401676069 37.82820414925516))"
8828308443fffff,15,13.933333333333334,6.0,27.0,"POLYGON ((-122.5260681552769 37.834031976759015, -122.52159867141438 37.837577417254884, -122.52305117485686 37.84226369959574, -122.52897349933227 37.84340435486379, -122.53344276730789 37.8398587980643, -122.53198992674358 37.83517270231026, -122.5260681552769 37.834031976759015))"
8828308449fffff,1,3.0,3.0,3.0,"POLYGON ((-122.52171101975267 37.81997165155281, -122.51724186552475 37.82351716370486, -122.51869401676069 37.82820414925516, -122.52461565937335 37.82934543604255, -122.52908459786782 37.825799807518116, -122.52763210953165 37.82111300858855, -122.52171101975267 37.81997165155281))"
882830844bfffff,28,12.5,0.0,32.0,"POLYGON ((-122.52908459786782 37.825799807518116, -122.52461565937335 37.82934543604255, -122.5260681552769 37.834031976759015, -122.53198992674358 37.83517270231026, -122.53645864931957 37.83162695746651, -122.53500581639595 37.826940603400686, -122.52908459786782 37.825799807518116))"
882830844dfffff,1,9.0,9.0,9.0,"POLYGON ((-122.51132035195793 37.82237531575681, -122.50685043687656 37.82592052348618, -122.5083022508304 37.830607695563515, -122.51422431719624 37.83174947339431, -122.51869401676069 37.82820414925516, -122.51724186552475 37.82351716370486, -122.51132035195793 37.82237531575681))"
8828308461fffff,6,13.0,6.0,28.0,"POLYGON ((-122.49488956305447 37.841242260849945, -122.49041779622996 37.8447867869082, -122.49186928721537 37.8494736284471, -122.49779288274146 37.85061575763208, -122.50226443432923 37.84707111515806, -122.5008126056762 37.84238445992472, -122.49488956305447 37.841242260849945))"
8828308465fffff,373,13.890080428954423,0.0,200.0,"POLYGON ((-122.48449433055336 37.84364409638188, -122.48002180304145 37.847188317163045, -122.48147295617736 37.85187534491365, -122.48739697472327 37.8530179656813, -122.49186928721537 37.8494736284471, -122.49041779622996 37.8447867869082, -122.48449433055336 37.84364409638188))"
8828308467fffff,255,13.541176470588235,0.0,52.0,"POLYGON ((-122.49186928721537 37.8494736284471, -122.48739697472327 37.8530179656813, -122.48884847291359 37.85770454849075, -122.49477262141413 37.858846607834124, -122.49924471870132 37.85530215419976, -122.49779288274146 37.85061575763208, -122.49186928721537 37.8494736284471))"
8828308469fffff,38,13.236842105263158,0.0,69.0,"POLYGON ((-122.49790930055804 37.83301044607233, -122.49343807930255 37.83655516074402, -122.49488956305447 37.841242260849945, -122.5008126056762 37.84238445992472, -122.50528361166322 37.838839628821624, -122.50383179034552 37.83415271508507, -122.49790930055804 37.83301044607233))"
882830846bfffff,8,12.625,1.0,39.0,"POLYGON ((-122.50528361166322 37.838839628821624, -122.5008126056762 37.84238445992472, -122.50226443432923 37.84707111515806, -122.5081876065035 37.848212752898824, -122.5126583970369 37.84466780541732, -122.51120623089821 37.839981336583335, -122.50528361166322 37.838839628821624))"
882830846dfffff,10,15.3,2.0,72.0,"POLYGON ((-122.48751516642518 37.83541240041089, -122.48304318454905 37.83895681000041, -122.48449433055336 37.84364409638188, -122.49041779622996 37.8447867869082, -122.49488956305447 37.841242260849945, -122.49343807930255 37.83655516074402, -122.48751516642518 37.83541240041089))"
8828308481fffff,9,29.88888888888889,4.0,83.0,"POLYGON ((-122.5716737298396 37.89125697220015, -122.56720466959993 37.89480284879931, -122.5686596020551 37.89948549440384, -122.5745839315615 37.90062207675166, -122.57905277468112 37.897076084251765, -122.57759750546309 37.89239362531462, -122.5716737298396 37.89125697220015))"
8828308483fffff,6,69.66666666666667,13.0,107.0,"POLYGON ((-122.57905277468112 37.897076084251765, -122.5745839315615 37.90062207675166, -122.5760392088487 37.90530427620185, -122.58196366598654 37.90644029646498, -122.58643229180093 37.90289418811749, -122.5849766778314 37.89821217536427, -122.57905277468112 37.897076084251765))"
8828308485fffff,54,18.22222222222222,0.0,179.0,"POLYGON ((-122.56128046791733 37.89366570444138, -122.55681064488986 37.89721127633333, -122.55826524039988 37.90189410851187, -122.56418999593119 37.90303118223428, -122.5686596020551 37.89948549440384, -122.56720466959993 37.89480284879931, -122.56128046791733 37.89366570444138))"
8828308487fffff,102,16.352941176470587,0.0,83.0,"POLYGON ((-122.5686596020551 37.89948549440384, -122.56418999593119 37.90303118223428, -122.56564493635376 37.90771356828806, -122.57156981981359 37.90885007991765, -122.5760392088487 37.90530427620185, -122.5745839315615 37.90062207675166, -122.5686596020551 37.89948549440384))"
882830848bfffff,2,31.5,24.0,39.0,"POLYGON ((-122.58206580276621 37.88884744424085, -122.57759750546309 37.89239362531462, -122.57905277468112 37.897076084251765, -122.5849766778314 37.89821217536427, -122.58944475779809 37.89466587842753, -122.58798915199957 37.889983606251114, -122.58206580276621 37.88884744424085))"
882830848dfffff,4,21.75,6.0,51.0,"POLYGON ((-122.56429515747574 37.88543685216498, -122.55982588030126 37.888982612810246, -122.56128046791733 37.89366570444138, -122.56720466959993 37.89480284879931, -122.5716737298396 37.89125697220015, -122.57021880538014 37.88657406720679, -122.56429515747574 37.88543685216498))"
8828308493fffff,3,36.0,5.0,89.0,"POLYGON ((-122.60420408336452 37.906299721977284, -122.59973643862624 37.90984625048035, -122.6011927420771 37.914527370482865, -122.60711702665348 37.915661775142915, -122.61158445349976 37.9121151309365, -122.6101278137104 37.90743419778319, -122.60420408336452 37.906299721977284))"
8828308497fffff,12,22.416666666666668,0.0,51.0,"POLYGON ((-122.59381228099943 37.90871128359518, -122.58934387267554 37.91225750773708, -122.59079983960545 37.916938814495595, -122.59672455142893 37.91807371036602, -122.6011927420771 37.914527370482865, -122.59973643862624 37.90984625048035, -122.59381228099943 37.90871128359518))"
8828308499fffff,11,7.909090909090909,0.0,32.0,"POLYGON ((-122.59983555092664 37.89225487730317, -122.59536823426137 37.89580147844406, -122.59682418473076 37.90048330440702, -122.60274778823153 37.901618342355405, -122.60721488715897 37.898071625442576, -122.60575860037214 37.89338998636313, -122.59983555092664 37.89225487730317))"
882830849bfffff,58,13.982758620689655,0.0,150.0,"POLYGON ((-122.60721488715897 37.898071625442576, -122.60274778823153 37.901618342355405, -122.60420408336452 37.906299721977284, -122.6101278137104 37.90743419778319, -122.61459469471487 37.90388736515169, -122.61313806334515 37.89920617244276, -122.60721488715897 37.898071625442576))"
882830849dfffff,3,90.33333333333333,19.0,200.0,"POLYGON ((-122.58944475779809 37.89466587842753, -122.5849766778314 37.89821217536427, -122.58643229180093 37.90289418811749, -122.59235632228564 37.90402971715354, -122.59682418473076 37.90048330440702, -122.59536823426137 37.89580147844406, -122.58944475779809 37.89466587842753))"
88283084a1fffff,708,14.860169491525424,0.0,200.0,"POLYGON ((-122.54786969019571 37.90430192620399, -122.54339855851015 37.90784700399766, -122.54485282465626 37.91252976297846, -122.55077855976606 37.913667257758675, -122.5552494747961 37.91012206400421, -122.5537948714206 37.9054394914402, -122.54786969019571 37.90430192620399))"
88283084a3fffff,139,17.158273381294965,0.0,200.0,"POLYGON ((-122.5552494747961 37.91012206400421, -122.55077855976606 37.913667257758675, -122.55223317097867 37.91834957054633, -122.558159034419 37.919486503142934, -122.56262973260823 37.9159411934807, -122.56117478424666 37.91125906713952, -122.5552494747961 37.91012206400421))"
